Title,Released,Prod_Budget,Rated,Runtime,Genre,Director,Actors,Pirate_Count,Torrentz_Count,Zoogle_Ver_Count,Total_Torrents
Beverly Hills Cop III,1994-05-25,50000000.0,R,104,"Action, Comedy, Crime",John Landis,"Eddie Murphy, Jon Tenney, Joey Travolta, Eugene Collier",17.0,18.0,19.0,54.0
The International,2009-02-13,50000000.0,R,118,"Action, Crime, Drama",Tom Tykwer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen",65.0,298.0,29.0,392.0
Into the Blue,2005-09-30,50000000.0,PG-13,110,"Action, Adventure, Crime",John Stockwell,"Paul Walker, Jessica Alba, Scott Caan, Ashley Scott",35.0,104.0,27.0,166.0
Patch Adams,1998-12-25,50000000.0,PG-13,115,"Biography, Comedy, Drama",Tom Shadyac,"Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman",14.0,32.0,18.0,64.0
Ted,2012-06-29,50000000.0,R,106,"Comedy, Fantasy",Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",155.0,586.0,58.0,799.0
Shanghai Knights,2003-02-07,50000000.0,PG-13,114,"Action, Adventure, Comedy",David Dobkin,"Jackie Chan, Owen Wilson, Aaron Taylor-Johnson, Tom Fisher",18.0,53.0,18.0,89.0
Outbreak,1995-03-10,50000000.0,R,127,"Action, Drama, Thriller",Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey",25.0,78.0,28.0,131.0
Your Highness,2011-04-08,50000000.0,R,102,"Adventure, Comedy, Fantasy",David Gordon Green,"Danny McBride, James Franco, Rasmus Hardiker, Natalie Portman",76.0,251.0,27.0,354.0
Yes Man,2008-12-19,50000000.0,PG-13,104,"Comedy, Romance",Peyton Reed,"Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins",88.0,232.0,27.0,347.0
Raising Helen,2004-05-28,50000000.0,PG-13,119,"Comedy, Drama, Romance",Garry Marshall,"Kate Hudson, John Corbett, Joan Cusack, Hayden Panettiere",5.0,16.0,14.0,35.0
Stepmom,1998-12-25,50000000.0,PG-13,124,"Comedy, Drama",Chris Columbus,"Julia Roberts, Susan Sarandon, Ed Harris, Jena Malone",6.0,15.0,15.0,36.0
