Title,Released,Prod_Budget,Rated,Runtime,Genre,Director,Actors,Pirate_Count,Torrentz_Count,Zoogle_Ver_Count,Total_Torrents
City by the Sea,2002-09-06,40000000.0,R,108,"Crime, Drama, Mystery",Michael Caton-Jones,"Robert De Niro, Frances McDormand, James Franco, Eliza Dushku",8.0,15.0,11.0,34.0
The Doors,1991-03-01,40000000.0,R,140,"Biography, Drama, Music",Oliver Stone,"Val Kilmer, Meg Ryan, Kyle MacLachlan, Frank Whaley",24.0,71.0,21.0,116.0
A League of Their Own,1992-07-01,40000000.0,PG,128,"Comedy, Drama, Sport",Penny Marshall,"Tom Hanks, Geena Davis, Lori Petty, Madonna",16.0,39.0,17.0,72.0
Big Momma's House 2,2006-01-27,40000000.0,PG-13,99,"Comedy, Crime",John Whitesell,"Martin Lawrence, Nia Long, Emily Procter, Zachary Levi",14.0,13.0,13.0,40.0
The Gunman,2015-03-20,40000000.0,R,115,"Action, Crime, Drama",Pierre Morel,"Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone",33.0,91.0,69.0,193.0
Grudge Match,2013-12-25,40000000.0,PG-13,113,"Comedy, Sport",Peter Segal,"Jim Lampley, Sylvester Stallone, Robert De Niro, Rich Little",76.0,258.0,31.0,365.0
Double Jeopardy,1999-09-24,40000000.0,R,105,"Crime, Mystery, Thriller",Bruce Beresford,"Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau",12.0,47.0,24.0,83.0
Paul,2011-03-18,40000000.0,R,104,"Adventure, Comedy, Sci-Fi",Greg Mottola,"Mia Stallard, Simon Pegg, Nick Frost, Jeremy Owen",147.0,950.0,94.0,1191.0
The Lake House,2006-06-16,40000000.0,PG,99,"Drama, Fantasy, Romance",Alejandro Agresti,"Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach",28.0,87.0,29.0,144.0
Secret Window,2004-03-12,40000000.0,PG-13,96,"Mystery, Thriller",David Koepp,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton",29.0,90.0,27.0,146.0
17 Again,2009-04-17,40000000.0,PG-13,102,"Comedy, Drama, Family",Burr Steers,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry",50.0,209.0,31.0,290.0
Torque,2004-01-16,40000000.0,PG-13,84,"Action, Comedy, Crime",Joseph Kahn,"John Ashker, Max Beesley, Dane Cook, Ice Cube",19.0,57.0,15.0,91.0
Scary Movie 4,2006-04-14,40000000.0,PG-13,83,Comedy,David Zucker,"Anna Faris, Regina Hall, Craig Bierko, Bill Pullman",30.0,94.0,13.0,137.0
The Social Network,2010-10-01,40000000.0,PG-13,120,"Biography, Drama",David Fincher,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",131.0,192.0,24.0,347.0
Arthur,2011-04-08,40000000.0,PG-13,110,"Comedy, Romance",Jason Winer,"Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner",81.0,416.0,28.0,525.0
Eight Below,2006-02-17,40000000.0,PG,120,"Adventure, Drama, Family",Frank Marshall,"Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson",27.0,90.0,36.0,153.0
A Time to Kill,1996-07-24,40000000.0,R,149,"Crime, Drama, Thriller",Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",16.0,52.0,19.0,87.0
Small Soldiers,1998-07-10,40000000.0,PG-13,110,"Action, Adventure, Comedy",Joe Dante,"David Cross, Jay Mohr, Alexandra Wilson, Denis Leary",13.0,39.0,16.0,68.0
Back to the Future Part II,1989-11-22,40000000.0,PG,108,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",51.0,55.0,15.0,121.0
Sweet November,2001-02-16,40000000.0,PG-13,119,"Drama, Romance",Pat O'Connor,"Keanu Reeves, Charlize Theron, Jason Isaacs, Greg Germann",15.0,40.0,21.0,76.0
Sex Tape,2014-07-18,40000000.0,R,94,Comedy,Jake Kasdan,"Cameron Diaz, Jason Segel, Rob Corddry, Ellie Kemper",60.0,459.0,13.0,532.0
The Prestige,2006-10-20,40000000.0,PG-13,130,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo",69.0,219.0,46.0,334.0
The Island of Dr. Moreau,1996-08-23,40000000.0,PG-13,96,"Horror, Sci-Fi, Thriller","John Frankenheimer, Richard Stanley","Marlon Brando, Val Kilmer, David Thewlis, Fairuza Balk",6.0,25.0,10.0,41.0
Apocalypto,2006-12-08,40000000.0,R,139,"Action, Adventure, Drama",Mel Gibson,"Rudy Youngblood, Dalia Hernández, Jonathan Brewer, Morris Birdyellowhead",71.0,177.0,47.0,295.0
The Intern,2015-09-25,40000000.0,PG-13,121,Comedy,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",50.0,309.0,89.0,448.0
Invincible,2006-08-25,40000000.0,PG,105,"Biography, Drama, Sport",Ericson Core,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway",12.0,45.0,13.0,70.0
The Other Woman,2014-04-25,40000000.0,PG-13,109,"Comedy, Romance",Nick Cassavetes,"Cameron Diaz, Leslie Mann, Nikolaj Coster-Waldau, Don Johnson",60.0,175.0,18.0,253.0
Superman III,1983-06-17,39000000.0,PG,125,"Action, Comedy, Sci-Fi",Richard Lester,"Christopher Reeve, Richard Pryor, Jackie Cooper, Marc McClure",12.0,46.0,14.0,72.0
Serenity,2005-09-30,39000000.0,PG-13,119,"Action, Adventure, Sci-Fi",Joss Whedon,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",63.0,225.0,39.0,327.0
Frankenweenie,2012-10-05,39000000.0,PG,87,"Animation, Comedy, Family",Tim Burton,"Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan",67.0,212.0,13.0,292.0
The Time Traveler's Wife,2009-08-14,39000000.0,PG-13,107,"Drama, Fantasy, Romance",Robert Schwentke,"Michelle Nolden, Alex Ferris, Arliss Howard, Eric Bana",45.0,15.0,29.0,89.0
The 5th Wave,2016-01-22,38000000.0,PG-13,112,"Action, Adventure, Sci-Fi",J Blakeson,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",49.0,173.0,191.0,413.0
Rock Star,2001-09-07,38000000.0,R,105,"Comedy, Drama, Music",Stephen Herek,"Mark Wahlberg, Jennifer Aniston, Dominic West, Jason Bonham",17.0,50.0,23.0,90.0
Sweet Home Alabama,2002-09-27,38000000.0,PG-13,108,"Comedy, Romance",Andy Tennant,"Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen",11.0,38.0,24.0,73.0
The Fast and the Furious,2001-06-22,38000000.0,PG-13,106,"Action, Crime, Thriller",Rob Cohen,"Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster",65.0,170.0,46.0,281.0
White Squall,1996-02-02,38000000.0,PG-13,129,"Adventure, Drama",Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf",9.0,25.0,14.0,48.0
Riddick,2013-09-06,38000000.0,R,119,"Action, Sci-Fi, Thriller",David Twohy,"Vin Diesel, Jordi Mollà, Matt Nable, Katee Sackhoff",145.0,631.0,27.0,803.0
Joe Somebody,2001-12-21,38000000.0,PG,98,"Comedy, Drama",John Pasquin,"Tim Allen, Julie Bowen, Kelly Lynch, Greg Germann",3.0,14.0,14.0,31.0
Life as We Know It,2010-10-08,38000000.0,PG-13,114,"Comedy, Drama, Romance",Greg Berlanti,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett",81.0,152.0,26.0,259.0
The Thing,2011-10-14,38000000.0,R,103,"Horror, Mystery, Sci-Fi",Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen",120.0,384.0,63.0,567.0
The Ugly Truth,2009-07-24,38000000.0,R,96,"Comedy, Romance",Robert Luketic,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",43.0,108.0,25.0,176.0
Enough,2002-05-24,38000000.0,PG-13,115,"Crime, Drama, Thriller",Michael Apted,"Jennifer Lopez, Billy Campbell, Tessa Allen, Juliette Lewis",7.0,29.0,23.0,59.0
Angel Eyes,2001-05-18,38000000.0,R,102,"Drama, Romance",Luis Mandoki,"Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard",3.0,16.0,14.0,33.0
Heartbreakers,2001-03-23,38000000.0,PG-13,123,"Comedy, Crime, Romance",David Mirkin,"Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee",11.0,37.0,37.0,85.0
What to Expect When You're Expecting,2012-05-18,37500000.0,PG-13,110,"Comedy, Drama, Romance",Kirk Jones,"Cameron Diaz, Jennifer Lopez, Elizabeth Banks, Chace Crawford",44.0,38.0,14.0,96.0
Aloha,2015-05-29,37000000.0,PG-13,105,"Comedy, Drama, Romance",Cameron Crowe,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray",23.0,83.0,45.0,151.0
Nim's Island,2008-04-04,37000000.0,PG,96,"Adventure, Comedy, Family","Jennifer Flackett, Mark Levin","Abigail Breslin, Jodie Foster, Gerard Butler, Michael Carman",41.0,46.0,22.0,109.0
Cop Out,2010-02-26,37000000.0,R,107,"Action, Comedy, Crime",Kevin Smith,"Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez",87.0,214.0,16.0,317.0
Creed,2015-11-25,37000000.0,PG-13,133,"Drama, Sport",Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",39.0,220.0,124.0,383.0
Twilight,2008-11-21,37000000.0,PG-13,122,"Drama, Fantasy, Romance",Catherine Hardwicke,"Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke",111.0,623.0,58.0,792.0
The Rite,2011-01-28,37000000.0,PG-13,114,"Drama, Horror, Mystery",Mikael Håfström,"Anthony Hopkins, Colin O'Donoghue, Alice Braga, Ciarán Hinds",96.0,229.0,33.0,358.0
We're the Millers,2013-08-07,37000000.0,R,110,"Comedy, Crime",Rawson Marshall Thurber,"Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter",57.0,124.0,33.0,214.0
Burn After Reading,2008-09-12,37000000.0,R,96,"Comedy, Drama","Ethan Coen, Joel Coen","George Clooney, Frances McDormand, Brad Pitt, John Malkovich",67.0,272.0,33.0,372.0
The Town,2010-09-17,37000000.0,R,125,"Crime, Drama, Thriller",Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",141.0,287.0,44.0,472.0
Dolphin Tale,2011-09-23,37000000.0,PG,113,"Drama, Family",Charles Martin Smith,"Harry Connick Jr., Ashley Judd, Nathan Gamble, Kris Kristofferson",50.0,133.0,19.0,202.0
Reindeer Games,2000-02-25,36000000.0,R,104,"Action, Crime, Drama",John Frankenheimer,"Ben Affleck, James Frain, Dana Stubblefield, Mark Acheson",11.0,41.0,27.0,79.0
Gattaca,1997-10-24,36000000.0,PG-13,106,"Drama, Sci-Fi, Thriller",Andrew Niccol,"Ethan Hawke, Uma Thurman, Gore Vidal, Xander Berkeley",34.0,119.0,48.0,201.0
John Q,2002-02-15,36000000.0,PG-13,116,"Crime, Drama, Thriller",Nick Cassavetes,"Gabriela Oltean, Denzel Washington, Kimberly Elise, Ron Annabelle",17.0,83.0,27.0,127.0
Hot Tub Time Machine,2010-03-26,36000000.0,R,101,"Comedy, Sci-Fi",Steve Pink,"John Cusack, Clark Duke, Craig Robinson, Rob Corddry",98.0,199.0,14.0,311.0
Blue Streak,1999-09-17,36000000.0,PG-13,93,"Action, Comedy, Crime",Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle",31.0,83.0,14.0,128.0
Breakdown,1997-05-02,36000000.0,R,93,"Action, Crime, Drama",Jonathan Mostow,"Kurt Russell, J.T. Walsh, Kathleen Quinlan, M.C. Gainey",7.0,35.0,20.0,62.0
A Man Apart,2003-04-04,36000000.0,R,109,"Action, Crime, Drama",F. Gary Gray,"Vin Diesel, Larenz Tate, Timothy Olyphant, Geno Silva",22.0,111.0,25.0,158.0
Never Say Never Again,1983-10-07,36000000.0,PG,134,"Action, Adventure, Thriller",Irvin Kershner,"Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera",24.0,58.0,24.0,106.0
The Ladykillers,2004-03-26,35000000.0,R,104,"Comedy, Crime, Thriller","Ethan Coen, Joel Coen","Tom Hanks, Irma P. Hall, Marlon Wayans, J.K. Simmons",14.0,30.0,19.0,63.0
Guess Who,2005-03-25,35000000.0,PG-13,105,"Comedy, Romance",Kevin Rodney Sullivan,"Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott",12.0,25.0,11.0,48.0
Resident Evil,2002-03-15,35000000.0,R,100,"Action, Horror, Sci-Fi",Paul W.S. Anderson,"Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt",74.0,143.0,49.0,266.0
Predator 2,1990-11-21,35000000.0,R,108,"Action, Horror, Sci-Fi",Stephen Hopkins,"Kevin Peter Hall, Danny Glover, Gary Busey, Rubén Blades",29.0,115.0,48.0,192.0
House of Wax,2005-05-06,35000000.0,R,108,Horror,Jaume Collet-Serra,"Elisha Cuthbert, Chad Michael Murray, Brian Van Holt, Paris Hilton",32.0,91.0,24.0,147.0
The Man in the Iron Mask,1998-03-13,35000000.0,PG-13,132,"Action, Adventure",Randall Wallace,"Leonardo DiCaprio, Jeremy Irons, John Malkovich, Gérard Depardieu",16.0,51.0,28.0,95.0
Furry Vengeance,2010-04-30,35000000.0,PG,92,"Comedy, Family",Roger Kumble,"Brendan Fraser, Ricky Garcia, Eugene Cordero, Patrice O'Neal",40.0,89.0,13.0,142.0
Queen of the Damned,2002-02-22,35000000.0,R,101,"Drama, Fantasy, Horror",Michael Rymer,"Aaliyah, Stuart Townsend, Marguerite Moreau, Vincent Perez",22.0,56.0,21.0,99.0
The Fountain,2006-11-22,35000000.0,PG-13,96,"Drama, Sci-Fi",Darren Aronofsky,"Hugh Jackman, Rachel Weisz, Ellen Burstyn, Mark Margolis",32.0,127.0,36.0,195.0
The Four Feathers,2002-09-20,35000000.0,PG-13,132,"Adventure, Drama, Romance",Shekhar Kapur,"Wes Bentley, Mohamed Bouich, Campbell Brown, Daniel Caltagirone",16.0,41.0,15.0,72.0
In Time,2011-10-28,35000000.0,PG-13,109,"Action, Sci-Fi, Thriller",Andrew Niccol,"Justin Timberlake, Olivia Wilde, Shyloh Oostwald, Johnny Galecki",184.0,654.0,92.0,930.0
Old Dogs,2009-11-25,35000000.0,PG,88,"Comedy, Family",Walt Becker,"John Travolta, Robin Williams, Kelly Preston, Conner Rayburn",45.0,106.0,19.0,170.0
Parker,2013-01-25,35000000.0,R,118,"Action, Crime, Romance",Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce",126.0,540.0,22.0,688.0
TMNT,2007-03-23,35000000.0,PG,87,"Animation, Action, Adventure",Kevin Munroe,"Chris Evans, Sarah Michelle Gellar, Mako, Kevin Smith",26.0,269.0,16.0,311.0
Broken City,2013-01-18,35000000.0,R,109,"Crime, Drama, Thriller",Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright",106.0,245.0,22.0,373.0
Radio,2003-10-24,35000000.0,PG,109,"Biography, Drama, Sport",Michael Tollin,"Cuba Gooding Jr., Ed Harris, Alfre Woodard, S. Epatha Merkerson",8.0,186.0,16.0,210.0
Black Knight,2001-11-21,35000000.0,PG-13,95,"Adventure, Comedy, Fantasy",Gil Junger,"Martin Lawrence, Marsha Thomason, Tom Wilkinson, Vincent Regan",12.0,44.0,24.0,80.0
Friends with Benefits,2011-07-22,35000000.0,R,109,"Comedy, Romance",Will Gluck,"Justin Timberlake, Mila Kunis, Patricia Clarkson, Jenna Elfman",117.0,194.0,20.0,331.0
Blast from the Past,1999-02-12,35000000.0,PG-13,112,"Comedy, Drama, Romance",Hugh Wilson,"Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek",11.0,31.0,24.0,66.0
Premium Rush,2012-08-24,35000000.0,PG-13,91,"Action, Crime, Thriller",David Koepp,"Joseph Gordon-Levitt, Dania Ramirez, Sean Kennedy, Kym Perfetto",66.0,227.0,14.0,307.0
Knock Off,1998-09-04,35000000.0,R,91,"Action, Comedy, Thriller",Hark Tsui,"Jean-Claude Van Damme, Rob Schneider, Lela Rochon, Paul Sorvino",3.0,15.0,12.0,30.0
Alex Cross,2012-10-19,35000000.0,PG-13,101,"Action, Crime, Mystery",Rob Cohen,"Tyler Perry, Edward Burns, Matthew Fox, Jean Reno",67.0,186.0,33.0,286.0
Untraceable,2008-01-25,35000000.0,R,101,"Crime, Drama, Thriller",Gregory Hoblit,"Diane Lane, Billy Burke, Colin Hanks, Joseph Cross",46.0,229.0,24.0,299.0
Jersey Girl,2004-03-26,35000000.0,PG-13,102,"Comedy, Drama, Romance",Kevin Smith,"Betty Aberlin, Matt McFarland, Sarah Stafford, Paulie Litt",8.0,35.0,12.0,55.0
The Blind Side,2009-11-20,35000000.0,PG-13,129,"Biography, Drama, Sport",John Lee Hancock,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",60.0,223.0,29.0,312.0
Malcolm X,1992-11-18,35000000.0,PG-13,202,"Biography, Drama, History",Spike Lee,"Denzel Washington, Angela Bassett, Albert Hall, Al Freeman Jr.",20.0,42.0,18.0,80.0
Spy Kids,2001-03-30,35000000.0,PG,88,"Action, Adventure, Comedy",Robert Rodriguez,"Antonio Banderas, Carla Gugino, Alexa PenaVega, Daryl Sabara",19.0,38.0,23.0,80.0
Mirrors,2008-08-15,35000000.0,R,110,"Horror, Mystery",Alexandre Aja,"Kiefer Sutherland, Paula Patton, Cameron Boyce, Erica Gluck",67.0,309.0,41.0,417.0
Flash Gordon,1980-12-05,35000000.0,PG,111,"Action, Adventure, Sci-Fi",Mike Hodges,"Sam J. Jones, Melody Anderson, Max von Sydow, Topol",22.0,77.0,13.0,112.0
Rush Hour,1998-09-18,35000000.0,PG-13,98,"Action, Comedy, Crime",Brett Ratner,"Ken Leung, Jackie Chan, Tom Wilkinson, Tzi Ma",24.0,101.0,35.0,160.0
Sky High,2005-07-29,35000000.0,PG,100,"Adventure, Comedy, Family",Mike Mitchell,"Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker",24.0,66.0,24.0,114.0
Species,1995-07-07,35000000.0,R,108,"Horror, Sci-Fi",Roger Donaldson,"Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker",21.0,72.0,23.0,116.0
Hot Pursuit,2015-05-08,35000000.0,PG-13,87,"Action, Comedy, Crime",Anne Fletcher,"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley",30.0,127.0,85.0,242.0
Max Payne,2008-10-17,35000000.0,PG-13,100,"Action, Crime, Drama",John Moore,"Mark Wahlberg, Mila Kunis, Beau Bridges, Ludacris",97.0,386.0,44.0,527.0
The Order,2003-09-05,35000000.0,R,102,"Action, Mystery, Thriller",Brian Helgeland,"Heath Ledger, Shannyn Sossamon, Benno Fürmann, Mark Addy",15.0,32.0,15.0,62.0
Superhero Movie,2008-03-28,35000000.0,PG-13,75,"Action, Comedy, Sci-Fi",Craig Mazin,"Drake Bell, Sara Paxton, Christopher McDonald, Leslie Nielsen",33.0,172.0,18.0,223.0
Horrible Bosses,2011-07-08,35000000.0,R,98,"Comedy, Crime",Seth Gordon,"Jason Bateman, Steve Wiebe, Kevin Spacey, Charlie Day",108.0,272.0,44.0,424.0
Cape Fear,1991-11-15,35000000.0,R,128,"Crime, Thriller",Martin Scorsese,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis",28.0,72.0,31.0,131.0
Donnie Brasco,1997-02-28,35000000.0,R,127,"Biography, Crime, Drama",Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby",48.0,121.0,35.0,204.0
Concussion,2015-12-25,35000000.0,PG-13,123,"Biography, Drama, Sport",Peter Landesman,"Will Smith, Alec Baldwin, Albert Brooks, Gugu Mbatha-Raw",25.0,121.0,125.0,271.0
Whiteout,2009-09-11,35000000.0,R,101,"Action, Crime, Mystery",Dominic Sena,"Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short",53.0,174.0,30.0,257.0
The Back-up Plan,2010-04-23,35000000.0,PG-13,104,"Comedy, Romance",Alan Poul,"Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen",77.0,147.0,26.0,250.0
Hoffa,1992-12-25,35000000.0,R,140,"Biography, Crime, Drama",Danny DeVito,"Jack Nicholson, Danny DeVito, Armand Assante, J.T. Walsh",7.0,26.0,13.0,46.0
Ella Enchanted,2004-04-09,35000000.0,PG,96,"Comedy, Family, Fantasy",Tommy O'Haver,"Anne Hathaway, Hugh Dancy, Cary Elwes, Aidan McArdle",8.0,21.0,13.0,42.0
Trainwreck,2015-07-17,35000000.0,R,125,"Comedy, Romance",Judd Apatow,"Colin Quinn, Devin Fabry, Carla Oudin, Amy Schumer",39.0,119.0,59.0,217.0
Flight of the Intruder,1991-01-18,35000000.0,PG-13,115,"Action, Drama, Thriller",John Milius,"Danny Glover, Willem Dafoe, Brad Johnson, Rosanna Arquette",2.0,15.0,12.0,29.0
Bounce,2000-11-17,35000000.0,PG-13,106,"Drama, Romance",Don Roos,"Ben Affleck, Gwyneth Paltrow, Natasha Henstridge, Edward Edwards",5.0,22.0,12.0,39.0
Luther,2003-09-26,35000000.0,PG-13,123,"Biography, Drama, History",Eric Till,"Joseph Fiennes, Alfred Molina, Jonathan Firth, Claire Cox",7.0,35.0,13.0,55.0
The Hangover,2009-06-05,35000000.0,R,100,Comedy,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",126.0,593.0,32.0,751.0
Lions for Lambs,2007-11-09,35000000.0,R,92,"Drama, Thriller, War",Robert Redford,"Robert Redford, Meryl Streep, Tom Cruise, Michael Peña",26.0,130.0,15.0,171.0
Identity Thief,2013-02-08,35000000.0,R,111,"Comedy, Crime",Seth Gordon,"Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet",79.0,189.0,17.0,285.0
A Nightmare on Elm Street,2010-04-30,35000000.0,R,95,"Horror, Mystery, Thriller",Samuel Bayer,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy",107.0,289.0,33.0,429.0
Unfinished Business,2015-03-06,35000000.0,R,91,Comedy,Ken Scott,"Vince Vaughn, Tom Wilkinson, Dave Franco, Sienna Miller",26.0,82.0,36.0,144.0
Something Borrowed,2011-05-06,35000000.0,PG-13,112,"Comedy, Drama, Romance",Luke Greenfield,"Ginnifer Goodwin, Kate Hudson, Colin Egglesfield, John Krasinski",51.0,112.0,15.0,178.0
True Grit,2010-12-22,35000000.0,PG-13,110,"Adventure, Drama, Western","Ethan Coen, Joel Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",113.0,266.0,46.0,425.0
L.A. Confidential,1997-09-19,35000000.0,R,138,"Crime, Drama, Mystery",Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",47.0,96.0,35.0,178.0
Poltergeist,2015-05-22,35000000.0,PG-13,93,"Horror, Thriller",Gil Kenan,"Sam Rockwell, Rosemarie DeWitt, Saxon Sharbino, Kyle Catlett",58.0,321.0,145.0,524.0
Lethal Weapon 3,1992-05-15,35000000.0,R,118,"Action, Crime, Thriller",Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo",27.0,54.0,19.0,100.0
License to Wed,2007-07-03,35000000.0,PG-13,91,"Comedy, Romance",Ken Kwapis,"Robin Williams, Mandy Moore, John Krasinski, Eric Christian Olsen",20.0,101.0,12.0,133.0
Batman,1989-06-23,35000000.0,PG-13,126,"Action, Adventure",Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl",37.0,196.0,25.0,258.0
Wimbledon,2004-09-17,35000000.0,PG-13,98,"Comedy, Romance, Sport",Richard Loncraine,"Kirsten Dunst, Paul Bettany, Sam Neill, Jon Favreau",7.0,32.0,13.0,52.0
Abduction,2011-09-23,35000000.0,PG-13,106,"Action, Mystery, Thriller",John Singleton,"Jake Andolina, Oriah Acima Andrews, Ken Arnold, Maria Bello",97.0,260.0,31.0,388.0
From Hell,2001-10-19,35000000.0,R,122,"Horror, Mystery, Thriller","Albert Hughes, Allen Hughes","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane",24.0,97.0,34.0,155.0
Heist,2001-11-09,35000000.0,R,109,"Action, Crime, Drama",David Mamet,"Gene Hackman, Danny DeVito, Delroy Lindo, Sam Rockwell",8.0,30.0,12.0,50.0
Street Fighter,1994-12-23,35000000.0,PG-13,102,"Action, Adventure, Comedy",Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen, Damian Chapa",14.0,77.0,19.0,110.0
The Devil Wears Prada,2006-06-30,35000000.0,PG-13,109,"Comedy, Drama, Romance",David Frankel,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci",25.0,90.0,27.0,142.0
The Darkest Hour,2011-12-25,34800000.0,PG-13,89,"Action, Adventure, Horror",Chris Gorak,"Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor",69.0,213.0,22.0,304.0
The Maze Runner,2014-09-19,34000000.0,PG-13,113,"Action, Mystery, Sci-Fi",Wes Ball,"Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper",100.0,346.0,69.0,515.0
The Longest Ride,2015-04-10,34000000.0,PG-13,128,"Drama, Romance",George Tillman Jr.,"Britt Robertson, Scott Eastwood, Alan Alda, Jack Huston",30.0,106.0,59.0,195.0
The Watcher,2000-09-08,33000000.0,R,97,"Crime, Horror, Mystery",Joe Charbanic,"James Spader, Marisa Tomei, Keanu Reeves, Ernie Hudson",7.0,34.0,12.0,53.0
The Punisher,2004-04-16,33000000.0,R,124,"Action, Crime, Drama",Jonathan Hensleigh,"A. Russell Andrews, Omar Avila, James Carpinello, Mark Collie",49.0,111.0,33.0,193.0
Doomsday,2008-03-14,33000000.0,R,105,"Action, Sci-Fi, Thriller",Neil Marshall,"Caryn Peterson, Adeola Ariyo, Emma Cleasby, Christine Tomlinson",61.0,357.0,37.0,455.0
A Few Good Men,1992-12-11,33000000.0,R,138,"Drama, Thriller",Rob Reiner,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon",33.0,56.0,14.0,103.0
Safe,2012-04-27,33000000.0,R,94,"Action, Crime, Thriller",Boaz Yakin,"Jason Statham, Catherine Chan, Robert John Burke, James Hong",96.0,726.0,78.0,900.0
Exit Wounds,2001-03-16,33000000.0,R,101,"Action, Comedy, Crime",Andrzej Bartkowiak,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson",23.0,70.0,19.0,112.0
Big Momma's House,2000-06-02,33000000.0,PG-13,99,"Action, Comedy, Crime",Raja Gosnell,"Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",15.0,20.0,16.0,51.0
Step Up Revolution,2012-07-27,33000000.0,PG-13,99,"Drama, Music, Romance",Scott Speer,"Cleopatra Coleman, Ryan Guzman, Misha Gabriel Hamilton, Michael 'Xeno' Langebeck",66.0,159.0,25.0,250.0
Snakes on a Plane,2006-08-18,33000000.0,R,105,"Action, Adventure, Crime",David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard",26.0,110.0,19.0,155.0
