Title,Released,Prod_Budget,Dom_Gross,World_Gross
Kung Fu Panda 2,2011-05-26,150000000.0,165249063.0,664837547.0
G-Force,2009-07-24,150000000.0,119436770.0,292817841.0
Charlie and the Chocolate Factory,2005-07-15,150000000.0,206459076.0,475825484.0
The Last Airbender,2010-07-01,150000000.0,131772187.0,319713881.0
Mars Needs Moms,2011-03-11,150000000.0,21392758.0,39549758.0
Hancock,2008-07-01,150000000.0,227946274.0,624234272.0
The Matrix Reloaded,2003-05-15,150000000.0,281553689.0,738576929.0
Star Trek Beyond,2016-07-22,150000000.0,0.0,0.0
Passengers,2016-12-21,150000000.0,0.0,0.0
The Wolfman,2010-02-12,150000000.0,62189884.0,142634358.0
Ratatouille,2007-06-29,150000000.0,206445654.0,626549695.0
Madagascar: Escape 2 Africa,2008-11-07,150000000.0,180010950.0,599516844.0
Thor,2011-05-06,150000000.0,181030624.0,449326618.0
Mission: Impossible III,2006-05-05,150000000.0,133501348.0,397501348.0
X-Men Origins: Wolverine,2009-05-01,150000000.0,179883157.0,374825760.0
Harry Potter and the Order of the Phoenix,2007-07-11,150000000.0,292004738.0,942943935.0
Pan,2015-10-09,150000000.0,35088320.0,123888320.0
Bolt,2008-11-21,150000000.0,114053759.0,328015209.0
Batman Begins,2005-06-15,150000000.0,205343774.0,359142722.0
Beowulf,2007-11-16,150000000.0,82195215.0,194995215.0
White House Down,2013-06-28,150000000.0,73103784.0,205440387.0
Night at the Museum: Battle of the Smithsonian,2009-05-22,150000000.0,177243721.0,402231063.0
Harry Potter and the Goblet of Fire,2005-11-18,150000000.0,290013036.0,896911078.0
Mission: Impossible - Rogue Nation,2015-07-31,150000000.0,195042377.0,700868363.0
Wrath of the Titans,2012-03-30,150000000.0,83670083.0,305270083.0
The Matrix Revolutions,2003-11-05,150000000.0,139259759.0,427289109.0
Angels & Demons,2009-05-15,150000000.0,133375846.0,490875846.0
Frozen,2013-11-22,150000000.0,400738009.0,1274234980.0
Troy,2004-05-14,150000000.0,133298577.0,484161265.0
Dark Shadows,2012-05-11,150000000.0,79727149.0,238202668.0
Bee Movie,2007-11-02,150000000.0,126631277.0,287594577.0
Mad Max: Fury Road,2015-05-15,150000000.0,153636354.0,373136354.0
I am Legend,2007-12-14,150000000.0,256393010.0,585532684.0
Flushed Away,2006-11-03,149000000.0,64665672.0,179357126.0
Rise of the Guardians,2012-11-21,145000000.0,103412758.0,306900902.0
Tarzan,1999-06-16,145000000.0,171091819.0,448191819.0
How to Train Your Dragon 2,2014-06-13,145000000.0,177002924.0,616102924.0
Sahara,2005-04-08,145000000.0,68671925.0,121671925.0
Madagascar 3: Europe's Most Wanted,2012-06-08,145000000.0,216391482.0,746921271.0
Mr. Peabody & Sherman,2014-03-07,145000000.0,111506430.0,269806430.0
Mission: ImpossibleGhost Protocol,2011-12-16,145000000.0,209397903.0,694713230.0
Die Another Day,2002-11-22,142000000.0,160942139.0,431942139.0
Armageddon,1998-07-01,140000000.0,201578182.0,554600000.0
The BFG,2016-07-01,140000000.0,26147994.0,30236333.0
Gods of Egypt,2016-02-26,140000000.0,31153464.0,133553464.0
Exodus: Gods and Kings,2014-12-12,140000000.0,65014513.0,268314513.0
Kung Fu Panda 3,2016-01-29,140000000.0,143489756.0,518589756.0
Star Trek,2009-05-08,140000000.0,257730019.0,385680446.0
Lethal Weapon 4,1998-07-10,140000000.0,130444603.0,285400000.0
Men in Black 2,2002-07-03,140000000.0,190418803.0,441767803.0
The Last Samurai,2003-12-05,140000000.0,111110575.0,456810575.0
G.I. Joe: Retaliation,2013-03-27,140000000.0,122523060.0,375740705.0
Fun With Dick And Jane,2005-12-21,140000000.0,110550000.0,203018919.0
Captain America: The First Avenger,2011-07-22,140000000.0,176654505.0,370569776.0
Spider-Man,2002-05-03,139000000.0,403706375.0,821706375.0
Watchmen,2009-03-06,138000000.0,107509799.0,184068357.0
Stealth,2005-07-29,138000000.0,32116746.0,76416746.0
The Incredible Hulk,2008-06-13,137500000.0,134806913.0,263417913.0
Hulk,2003-06-20,137000000.0,132177234.0,245229234.0
Final Fantasy: The Spirits Within,2001-07-11,137000000.0,32131830.0,85131830.0
"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,136200000.0,292324737.0,829724737.0
The Croods,2012-10-01,135000000.0,187168425.0,573068425.0
Miami Vice,2006-07-28,135000000.0,63478838.0,163818556.0
Rango,2011-03-04,135000000.0,123257581.0,245504574.0
The Revenant,2015-12-25,135000000.0,183637894.0,532037894.0
Turbo,2013-07-17,135000000.0,83028130.0,286896578.0
Happy Feet Two,2011-11-18,135000000.0,64006466.0,157956466.0
The World is Not Enough,1999-11-19,135000000.0,126930660.0,361730660.0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-03,135000000.0,79845875.0,189045875.0
Master and Commander: The Far Side of the World,2003-11-14,135000000.0,93926386.0,212912137.0
Penguins of Madagascar,2014-11-26,132000000.0,83350911.0,367650911.0
War of the Worlds,2005-06-29,132000000.0,234280354.0,606836535.0
R.I.P.D.,2013-07-19,130000000.0,33618855.0,79072464.0
The Bourne Ultimatum,2007-08-03,130000000.0,227471070.0,442161562.0
Puss in Boots,2011-10-28,130000000.0,149260504.0,554987477.0
Bad Boys II,2003-07-18,130000000.0,138540870.0,273271982.0
The Hunger Games: Catching Fire,2013-11-22,130000000.0,424668047.0,864868047.0
After Earth,2013-05-31,130000000.0,60522097.0,251499665.0
Ant-Man,2015-07-17,130000000.0,180202163.0,518602163.0
Kung Fu Panda,2008-06-06,130000000.0,215434591.0,631910531.0
The Adventures of Tintin,2011-12-21,130000000.0,77591831.0,373993951.0
Home,2015-03-27,130000000.0,177397510.0,386085953.0
Australia,2008-11-26,130000000.0,49554002.0,215080810.0
Noah,2014-03-28,130000000.0,101200044.0,352831065.0
Megamind,2010-11-05,130000000.0,148415853.0,321887208.0
Harry Potter and the Prisoner of Azkaban,2004-06-04,130000000.0,249538952.0,796688549.0
Salt,2010-07-23,130000000.0,118311368.0,290650494.0
Rio 2,2014-04-11,130000000.0,131538435.0,493738435.0
Dinosaur,2000-05-19,127500000.0,137748063.0,356148063.0
"The Twilight Saga: Breaking Dawn, Part 1",2011-11-18,127500000.0,281287133.0,689420051.0
Night at the Museum: Secret of the Tomb,2014-12-19,127000000.0,113746621.0,356546621.0
The Da Vinci Code,2006-05-19,125000000.0,217536138.0,767820459.0
The Bourne Legacy,2012-08-10,125000000.0,113203870.0,280355920.0
Harry Potter and the Deathly Hallows: Part II,2011-07-15,125000000.0,381011219.0,1341511219.0
Godzilla,1998-05-19,125000000.0,136314294.0,376000000.0
Harry Potter and the Sorcerers Stone,2001-11-16,125000000.0,317575550.0,974755371.0
Harry Potter and the Deathly Hallows: Part I,2010-11-19,125000000.0,295983305.0,960283305.0
Batman & Robin,1997-06-20,125000000.0,107325195.0,238317814.0
Fast Five,2011-04-29,125000000.0,209837675.0,629969804.0
The 13th Warrior,1999-08-27,125000000.0,32698899.0,61698899.0
Total Recall,2012-08-03,125000000.0,58877969.0,211856088.0
Prometheus,2012-06-08,125000000.0,126477084.0,399005706.0
X2,2003-05-02,125000000.0,214949694.0,407711549.0
Clash of the Titans,2010-04-01,125000000.0,163214888.0,493214888.0
The Hunger Games: Mockingjay - Part 1,2014-11-21,125000000.0,337135885.0,766652288.0
Sherlock Holmes: A Game of Shadows,2011-12-16,125000000.0,186848418.0,535663443.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,125000000.0,305411224.0,634954103.0
The Day After Tomorrow,2004-05-28,125000000.0,186740799.0,556319450.0
Teenage Mutant Ninja Turtles,2014-08-08,125000000.0,191204754.0,485004754.0
How the Grinch Stole Christmas,2000-11-17,123000000.0,260044825.0,345141403.0
The Perfect Storm,2000-06-30,120000000.0,182618434.0,328711434.0
Fantastic Four,2015-08-07,120000000.0,56117548.0,167117548.0
Stuart Little 2,2002-07-19,120000000.0,64956806.0,166000000.0
Elysium,2013-08-09,120000000.0,93050117.0,286192091.0
How Do You Know?,2010-12-17,120000000.0,30212620.0,49628177.0
The Island,2005-07-22,120000000.0,35818913.0,163018913.0
RoboCop,2014-02-12,120000000.0,58607007.0,242981799.0
The Chronicles of Riddick,2004-06-11,120000000.0,57712751.0,107212751.0
Mission: Impossible 2,2000-05-24,120000000.0,215409889.0,549588516.0
Speed Racer,2008-05-09,120000000.0,43945766.0,93394462.0
Life of Pi,2012-11-21,120000000.0,124987022.0,607987022.0
Trolls,2016-11-04,120000000.0,0.0,0.0
Fantastic Four: Rise of the Silver Surfer,2007-06-15,120000000.0,131921738.0,288215319.0
Ghost Rider,2007-02-16,120000000.0,115802596.0,229545589.0
Oblivion,2013-04-19,120000000.0,89107235.0,287916633.0
Charlie's Angels: Full Throttle,2003-06-27,120000000.0,100814328.0,227200000.0
Knight and Day,2010-06-23,117000000.0,76423035.0,258751370.0
Star Wars Ep. II: Attack of the Clones,2002-05-16,115000000.0,310676740.0,656695615.0
The Wolverine,2013-07-26,115000000.0,132556852.0,416456852.0
Star Wars Ep. I: The Phantom Menace,1999-05-19,115000000.0,474544677.0,1027044677.0
Dante's Peak,1997-02-07,115000000.0,67163857.0,178200000.0
Windtalkers,2002-06-14,115000000.0,40914068.0,77628265.0
