Title,Released,Prod_Budget,Dom_Gross,World_Gross
Accidental Love,2015-03-17,26000000.0,0.0,135436.0
The Grimm Brothers Snow White,1997-08-24,26000000.0,5000.0,5000.0
In Good Company,2004-12-29,26000000.0,45489752.0,63489752.0
Blood & Wine,1997-02-21,26000000.0,1083350.0,1083350.0
Viy,2015-06-30,26000000.0,0.0,34246770.0
 A Cinderella Story,1998-07-31,26000000.0,65705772.0,65705772.0
Philadelphia,1993-12-22,26000000.0,77324422.0,201324422.0
Nothing To Lose,1997-07-18,25000000.0,44480039.0,64594061.0
Angelas Ashes,1999-12-24,25000000.0,13038660.0,13038660.0
Love Ranch,2010-06-30,25000000.0,137885.0,146149.0
Spice World,1998-01-23,25000000.0,29342592.0,56042592.0
The Shawshank Redemption,1994-09-23,25000000.0,28241469.0,28241469.0
 The Secret of the Ooze,1991-03-22,25000000.0,78656813.0,78656813.0
 De geheime doorgang,2010-12-31,25000000.0,0.0,71594792.0
Legend,1986-04-18,25000000.0,15502112.0,23506237.0
Tora Tora Tora,1970-09-23,25000000.0,29548291.0,29548291.0
Goodfellas,1990-09-19,25000000.0,46743809.0,46743809.0
Tulip Fever,2017-02-24,25000000.0,0.0,0.0
The Gambler,2014-12-10,25000000.0,33680992.0,38718031.0
La vÃ©ritable histoire du Chat BottÃ©,2011-10-04,25000000.0,0.0,8208594.0
 Red White & Blonde,2003-07-02,25000000.0,90639088.0,125339088.0
Reagan,2016-12-31,25000000.0,0.0,0.0
There Will Be Blood,2007-12-26,25000000.0,40222514.0,77208711.0
Big Trouble in Little China,1986-07-01,25000000.0,11100000.0,11100000.0
Tank Girl,1995-03-01,25000000.0,4064333.0,4064333.0
Schindlers List,1993-12-15,25000000.0,96067179.0,321365567.0
Carnage,2011-12-16,25000000.0,2546747.0,38112154.0
Waterloo,1970-01-01,25000000.0,0.0,0.0
The Hours,2002-12-27,25000000.0,41675994.0,97030468.0
Tyler Perrys A Madea Christmas,2013-12-13,25000000.0,52543354.0,52543354.0
Shaun the Sheep,2015-08-05,25000000.0,19375982.0,101937062.0
The Worlds Fastest Indian,2005-12-07,25000000.0,5128124.0,18991288.0
Belka i Strelka Zvezdnye sobaki,2010-12-31,25000000.0,0.0,9445081.0
August Rush,2007-11-17,25000000.0,31664162.0,66015869.0
Million Dollar Arm,2014-05-10,25000000.0,36447959.0,39217912.0
Dangerous Liaisons,2012-11-09,24200000.0,17000.0,10447579.0
Muppets From Space,1999-07-14,24000000.0,16304786.0,16304786.0
Play it to the Bone,1999-12-24,24000000.0,8427204.0,8427204.0
 The Voyage Home,1986-11-26,24000000.0,109713132.0,133000000.0
The Fisher King,1991-09-20,24000000.0,41798224.0,41798224.0
Girl Interrupted,1999-12-21,24000000.0,28871190.0,28871190.0
 The Smell of Fear,1991-06-28,23000000.0,86930411.0,86930411.0
In the Valley of Elah,2007-09-14,23000000.0,6777741.0,24489150.0
 The Empire Strikes Back,1980-05-21,23000000.0,290271960.0,534171960.0
The End of the Affair,1999-12-03,23000000.0,10660147.0,10660147.0
Shi Yue Wei Cheng,2009-12-31,23000000.0,0.0,44195779.0
Her,2013-12-18,23000000.0,25568251.0,48783090.0
Gandhi,1982-12-08,22000000.0,52767889.0,127767889.0
Hit & Run,2012-08-22,22000000.0,13749300.0,17216955.0
Metegol,2013-12-31,22000000.0,0.0,30051905.0
I Am Sam,2001-12-28,22000000.0,40270895.0,92542418.0
The Game Plan,2007-09-22,22000000.0,90648202.0,146590987.0
The Butterfly God,2016-12-31,22000000.0,0.0,0.0
Darling Lili,1970-01-01,22000000.0,5000000.0,5000000.0
Out of the Furnace,2013-12-04,22000000.0,11330849.0,15434375.0
Shadowlands,1993-12-29,22000000.0,25842377.0,25842377.0
Michael Clayton,2007-10-05,21500000.0,49033882.0,92987651.0
Silver Linings Playbook,2012-11-16,21000000.0,132092958.0,236412453.0
Bitter Harvest,2015-12-31,21000000.0,0.0,0.0
Bullets Over Broadway,1994-10-21,20000000.0,13383747.0,13383747.0
To Die For,1995-09-27,20000000.0,21284514.0,27688744.0
 Resurrection of the Dragon,2010-04-13,20000000.0,0.0,22139590.0
The Brothers Bloom,2009-05-15,20000000.0,3531756.0,5531756.0
The Children of Huang Shi,2008-05-23,20000000.0,1031872.0,8221700.0
The History of Love,2016-12-31,20000000.0,0.0,0.0
 A Love Story,2009-09-23,20000000.0,14363397.0,19121531.0
Zambezia,2012-12-31,20000000.0,0.0,23346219.0
The Thousand Miles,2017-12-31,20000000.0,0.0,0.0
Story of Bonnie & Clyde The,2020-12-31,20000000.0,0.0,0.0
A Scanner Darkly,2006-07-07,20000000.0,5501616.0,7405084.0
The Greatest Story Ever Told,1965-02-15,20000000.0,15473333.0,15473333.0
Edward Scissorhands,1990-12-07,20000000.0,53976987.0,53976987.0
The Descendants,2011-11-16,20000000.0,82624961.0,175507800.0
The Touch,2004-03-31,20000000.0,0.0,5918742.0
Ramanujan,2007-12-31,20000000.0,0.0,0.0
Sweet Charity,1969-01-01,20000000.0,8000000.0,8000000.0
 Lost in New York,1992-11-20,20000000.0,173585516.0,358994850.0
The Debt,2011-08-31,20000000.0,31177548.0,46604054.0
Rapa Nui,1994-09-11,20000000.0,305070.0,305070.0
Beauty & the Beast,1991-11-13,20000000.0,218951625.0,451421625.0
Mrs Henderson Presents,2005-12-09,20000000.0,11036366.0,27836366.0
A Most Violent Year,2014-12-31,20000000.0,5749134.0,6071433.0
Koltchak,2008-12-31,20000000.0,0.0,38585047.0
Fight Valley,2016-06-30,20000000.0,0.0,0.0
Cant Stop the Music,1980-01-01,20000000.0,2000000.0,2000000.0
Close Encounters of the Third Kind,1977-11-16,20000000.0,166000000.0,337700000.0
The Fall of the Roman Empire,1964-01-01,19000000.0,4750000.0,4750000.0
The Book Thief,2013-11-08,19000000.0,21488481.0,76086711.0
Out of Inferno,2013-12-31,19000000.0,0.0,0.0
Mutiny on The Bounty,1962-11-08,19000000.0,13680000.0,13680000.0
Ne le dis Ã  personne,2008-07-04,18500000.0,6198883.0,33954018.0
Glory,1989-12-13,18000000.0,26593580.0,26593580.0
RocknRolla,2008-10-08,18000000.0,5700626.0,27794339.0
Nine 1/2 Weeks,1986-02-21,18000000.0,6734844.0,6734844.0
 Eine deutsche Kindergeschichte,2009-12-30,18000000.0,2222862.0,25727044.0
Troop Beverly Hills,1989-03-22,18000000.0,7190505.0,7190505.0
Amadeus,1984-09-19,18000000.0,51973029.0,51973029.0
Gosford Park,2001-12-26,18000000.0,41300105.0,41300105.0
Midnight Special,2016-03-18,18000000.0,3712282.0,6841142.0
 Trainspotting,2017-02-03,18000000.0,0.0,0.0
Raging Bull,1980-11-14,18000000.0,23380203.0,23380203.0
I Come with the Rain,2008-12-31,18000000.0,0.0,627422.0
Red Lights,2012-07-13,17700000.0,49521.0,14518884.0
Chasseurs de dragons,2009-06-23,17000000.0,0.0,13446115.0
My Fair Lady,1964-10-22,17000000.0,72000000.0,72000000.0
Roar,1981-01-01,17000000.0,2110050.0,2110050.0
Southland Tales,2007-11-14,17000000.0,275380.0,364607.0
LetÂs Be Cops,2014-08-13,17000000.0,82390774.0,136890774.0
55 Days at Peking,1963-01-01,17000000.0,10000000.0,10000000.0
Tron,1982-07-09,17000000.0,26918576.0,26918576.0
 H2O,1998-08-05,17000000.0,55041738.0,55041738.0
Sense & Sensibility,1995-12-11,16500000.0,42993774.0,134993774.0
Arn - Tempelriddaren,2007-12-31,16500000.0,0.0,21404122.0
Dead Poets Society,1989-06-02,16400000.0,95860116.0,239500000.0
El Laberinto del Fauno,2006-12-29,16000000.0,37634615.0,87041569.0
LÃ©on,1994-11-18,16000000.0,19284974.0,45284974.0
The Verdict,1982-12-08,16000000.0,53977250.0,53977250.0
The Artist,2011-11-25,16000000.0,44667095.0,128256712.0
Zulu,2013-12-31,16000000.0,0.0,1844228.0
Good,2008-12-31,16000000.0,31631.0,31631.0
Meteor,1979-01-01,16000000.0,8400000.0,8400000.0
 A Dogs Story,2010-03-09,16000000.0,0.0,47707417.0
Haeundae,2010-05-11,16000000.0,0.0,64733391.0
Ben-Hur,1959-11-18,15000000.0,73000000.0,73000000.0
In Dubious Battle,2015-12-31,15000000.0,0.0,0.0
Khumba,2013-12-06,15000000.0,0.0,20898221.0
The Princess Bride,1987-09-25,15000000.0,30857000.0,30857000.0
Lawrence of Arabia,1962-12-16,15000000.0,37495385.0,69995385.0
The Queen,2006-09-30,15000000.0,56441711.0,128885873.0
Boogie Nights,1997-10-10,15000000.0,26410771.0,43111725.0
Mulholland Drive,2001-10-08,15000000.0,7219578.0,11919578.0
Little Women,1994-12-21,15000000.0,50003303.0,50003303.0
You Will Meet a Tall Dark Stranger,2010-09-22,15000000.0,3247816.0,34247816.0
The Importance of Being Earnest,2002-05-22,15000000.0,8378141.0,8378141.0
Match Point,2005-12-28,15000000.0,23089926.0,87989926.0
The Object of my Affection,1998-04-17,15000000.0,29145924.0,29145924.0
 Wrath of the Dragon God,2005-12-31,15000000.0,0.0,909822.0
Whats Love Got to Do With It,1993-06-09,15000000.0,39100956.0,39100956.0
National LampoonÂs Vacation,1983-07-29,15000000.0,61400000.0,61400000.0
Wild,2014-12-03,15000000.0,37880356.0,52501541.0
American Beauty,1999-09-15,15000000.0,130058047.0,356258047.0
The KingÂs Speech,2010-11-26,15000000.0,138797449.0,430821168.0
Chiamatemi Francesco - Il papa della gente,2015-12-31,15000000.0,0.0,3439835.0
Earth,2009-04-22,15000000.0,32011576.0,109011576.0
